DATE,Global Alumuminum $USD Per Metic Ton,Cold-Rolled Steel PPI,Electronic Wire and Cable PPI,Hot-Rolled Steel PPI
2016-06-01,1593.50681818182,193.6,251.8,110.6
2016-07-01,1629.04761904762,198.2,251.6,115.2
2016-08-01,1639.28409090909,209.8,250.9,118.8
2016-09-01,1592.36363636364,209.8,251.1,116.1
2016-10-01,1665.90476190476,208.7,251.1,110.2
2016-11-01,1737.11363636364,208.8,247.6,110.2
2016-12-01,1727.7375,206.5,251.1,114.5
2017-01-01,1791.2380952381,210.4,251.8,119.3
2017-02-01,1860.75,219.6,252.5,122.6
2017-03-01,1901.46739130435,222.3,252.4,126.1
2017-04-01,1921.22222222222,224.3,252.9,124.2
2017-05-01,1913.02380952381,229.3,252.5,128.0
2017-06-01,1885.28636363636,230.4,252.0,128.4
2017-07-01,1902.96428571429,242.9,250.3,128.7
2017-08-01,2030.01136363636,219.8,252.1,127.7
2017-09-01,2096.4880952381,219.0,257.5,131.1
2017-10-01,2131.48863636364,217.4,256.8,127.4
2017-11-01,2097.44090909091,215.0,255.2,128.3
2017-12-01,2080.47368421053,216.3,254.3,131.1
2018-01-01,2209.72727272727,211.5,254.9,131.3
2018-02-01,2181.7875,221.2,257.9,132.7
2018-03-01,2069.2380952381,224.4,257.0,134.4
2018-04-01,2254.6875,229.2,256.1,136.9
2018-05-01,2299.66666666667,237.8,259.2,146.9
2018-06-01,2237.61904761905,245.1,260.0,152.3
2018-07-01,2082.23863636364,247.5,262.0,156.2
2018-08-01,2051.51136363636,252.3,261.0,160.5
2018-09-01,2026.4625,252.0,259.3,161.9
2018-10-01,2029.85869565217,250.6,259.5,159.1
2018-11-01,1938.51136363636,246.1,259.6,163.5
2018-12-01,1920.38157894737,246.8,259.2,159.0
2019-01-01,1853.71590909091,245.5,259.6,154.2
2019-02-01,1862.9875,236.0,260.3,146.8
2019-03-01,1871.21428571429,235.5,261.1,149.0
2019-04-01,1845.425,236.2,257.8,140.3
2019-05-01,1781.2619047619,233.7,256.7,141.6
2019-06-01,1755.95,227.5,253.5,138.4
2019-07-01,1796.98913043478,225.6,253.5,134.3
2019-08-01,1740.67857142857,224.1,251.6,129.9
2019-09-01,1753.5119047619,219.8,249.4,128.8
2019-10-01,1725.95652173913,218.1,248.8,128.1
2019-11-01,1774.78571428571,216.1,248.8,122.3
2019-12-01,1771.38,218.2,248.4,117.9
2020-01-01,1773.09090909091,218.6,248.9,115.5
2020-02-01,1688.095,212.0,246.8,117.6
2020-03-01,1610.89090909091,216.5,243.8,117.8
2020-04-01,1459.9345,212.9,236.2,117.2
2020-05-01,1466.37157894737,209.7,235.3,109.7
2020-06-01,1568.57045454545,206.9,237.4,110.6
2020-07-01,1643.81217391304,206.6,243.7,109.4
2020-08-01,1738.55523809524,197.3,248.4,107.4
2020-09-01,1743.77454545455,198.8,252.6,107.3
2020-10-01,1806.10181818182,196.8,255.9,112.2
2020-11-01,1935.28333333333,204.6,261.9,115.3
2020-12-01,2014.6719047619,245.8,269.8,125.1
2021-01-01,2003.9755,250.1,272.5,137.1
2021-02-01,2078.5935,273.5,277.0,156.2
2021-03-01,2190.48260869565,377.9,289.0,195.6
2021-04-01,2319.3925,478.9,297.4,249.1
2021-05-01,2434.7765,482.6,302.6,260.9
2021-06-01,2446.64545454545,506.7,308.9,289.0
2021-07-01,2497.63545454545,622.9,310.6,309.4
2021-08-01,2602.99190476191,632.2,308.6,335.0
2021-09-01,2834.55681818182,648.0,308.7,364.1
2021-10-01,2934.39380952381,701.7,310.5,376.8
