DATE,Fed-held Residential MBS,Fed-held Commerical MBS,Fed Total Assets
2013-01-16,0.0,0.0,2963812.0
2013-01-23,0.0,0.0,3011697.0
2013-01-30,0.0,0.0,3008704.0
2013-02-06,0.0,0.0,3014975.0
2013-02-13,0.0,0.0,3074225.0
2013-02-20,0.0,0.0,3095150.0
2013-02-27,0.0,0.0,3090600.0
2013-03-06,0.0,0.0,3108805.0
2013-03-13,0.0,0.0,3165396.0
2013-03-20,0.0,0.0,3206888.0
2013-03-27,0.0,0.0,3202256.0
2013-04-03,0.0,0.0,3215432.0
2013-04-10,0.0,0.0,3227762.0
2013-04-17,0.0,0.0,3295109.0
2013-04-24,0.0,0.0,3318649.0
2013-05-01,0.0,0.0,3317194.0
2013-05-08,0.0,0.0,3324615.0
2013-05-15,0.0,0.0,3354269.0
2013-05-22,0.0,0.0,3398713.0
2013-05-29,0.0,0.0,3385128.0
2013-06-05,0.0,0.0,3400183.0
2013-06-12,0.0,0.0,3410842.0
2013-06-19,0.0,0.0,3470530.0
2013-06-26,0.0,0.0,3478672.0
2013-07-03,0.0,0.0,3492742.0
2013-07-10,0.0,0.0,3504095.0
2013-07-17,0.0,0.0,3537861.0
2013-07-24,0.0,0.0,3574574.0
2013-07-31,0.0,0.0,3571797.0
2013-08-07,0.0,0.0,3585359.0
2013-08-14,0.0,0.0,3646323.0
2013-08-21,0.0,0.0,3645668.0
2013-08-28,0.0,0.0,3644456.0
2013-09-04,0.0,0.0,3654182.0
2013-09-11,0.0,0.0,3662035.0
2013-09-18,0.0,0.0,3722192.0
2013-09-25,0.0,0.0,3734018.0
2013-10-02,0.0,0.0,3747387.0
2013-10-09,0.0,0.0,3758663.0
2013-10-16,0.0,0.0,3813599.0
2013-10-23,0.0,0.0,3839033.0
2013-10-30,0.0,0.0,3843396.0
2013-11-06,0.0,0.0,3851623.0
2013-11-13,0.0,0.0,3907424.0
2013-11-20,0.0,0.0,3906620.0
2013-11-27,0.0,0.0,3925876.0
2013-12-04,0.0,0.0,3932627.0
2013-12-11,0.0,0.0,3993955.0
2013-12-18,0.0,0.0,4008062.0
2013-12-25,0.0,0.0,4032575.0
2014-01-01,0.0,0.0,4023640.0
2014-01-08,0.0,0.0,4028185.0
2014-01-15,0.0,0.0,4071528.0
2014-01-22,0.0,0.0,4097914.0
2014-01-29,0.0,0.0,4102138.0
2014-02-05,0.0,0.0,4109285.0
2014-02-12,0.0,0.0,4119474.0
2014-02-19,0.0,0.0,4149224.0
2014-02-26,0.0,0.0,4159972.0
2014-03-05,0.0,0.0,4171762.0
2014-03-12,0.0,0.0,4181361.0
2014-03-19,0.0,0.0,4222081.0
2014-03-26,0.0,0.0,4226971.0
2014-04-02,0.0,0.0,4236441.0
2014-04-09,0.0,0.0,4244188.0
2014-04-16,0.0,0.0,4283967.0
2014-04-23,0.0,0.0,4296339.0
2014-04-30,0.0,0.0,4296049.0
2014-05-07,0.0,0.0,4303143.0
2014-05-14,0.0,0.0,4336649.0
2014-05-21,0.0,0.0,4327560.0
2014-05-28,0.0,0.0,4322654.0
2014-06-04,0.0,0.0,4330917.0
2014-06-11,0.0,0.0,4340904.0
2014-06-18,0.0,0.0,4368168.0
2014-06-25,0.0,0.0,4368348.0
2014-07-02,0.0,0.0,4377031.0
2014-07-09,0.0,0.0,4383401.0
2014-07-16,0.0,0.0,4398201.0
2014-07-23,0.0,0.0,4410746.0
2014-07-30,0.0,0.0,4406637.0
2014-08-06,0.0,0.0,4410111.0
2014-08-13,0.0,0.0,4431923.0
2014-08-20,0.0,0.0,4412924.0
2014-08-27,0.0,0.0,4413736.0
2014-09-03,0.0,0.0,4415587.0
2014-09-10,0.0,0.0,4421408.0
2014-09-17,0.0,0.0,4449588.0
2014-09-24,0.0,0.0,4459050.0
2014-10-01,0.0,0.0,4450260.0
2014-10-08,0.0,0.0,4455403.0
2014-10-15,0.0,0.0,4474360.0
2014-10-22,0.0,0.0,4481616.0
2014-10-29,0.0,0.0,4486754.0
2014-11-05,0.0,0.0,4486585.0
2014-11-12,0.0,0.0,4488895.0
2014-11-19,0.0,0.0,4492759.0
2014-11-26,0.0,0.0,4485931.0
2014-12-03,0.0,0.0,4486190.0
2014-12-10,0.0,0.0,4488865.0
2014-12-17,0.0,0.0,4502247.0
2014-12-24,0.0,0.0,4509462.0
2014-12-31,0.0,0.0,4497660.0
2015-01-07,0.0,0.0,4499524.0
2015-01-14,0.0,0.0,4516077.0
2015-01-21,0.0,0.0,4512936.0
2015-01-28,0.0,0.0,4500064.0
2015-02-04,0.0,0.0,4500348.0
2015-02-11,0.0,0.0,4501685.0
2015-02-18,0.0,0.0,4496851.0
2015-02-25,0.0,0.0,4486725.0
2015-03-04,0.0,0.0,4487583.0
2015-03-11,0.0,0.0,4489279.0
2015-03-18,0.0,0.0,4495888.0
2015-03-25,0.0,0.0,4480603.0
2015-04-01,0.0,0.0,4481799.0
